lemma	frequency	rank	band_id
tarjeta	4108.0	836	1
barco	4104.0	837	1
tony	4096.0	838	1
sufrir	4093.0	839	1
llamas	4085.0	840	1
casar	4081.0	841	1
deseo	4078.0	842	1
llorar	4075.0	843	1
según	4065.0	844	1
conocido	4052.0	845	1
completamente	4040.0	846	1
principio	4022.0	847	1
director	4016.0	848	1
cansado	4000.0	849	1
ocho	3998.0	850	1
temprano	3994.0	851	1
investigación	3983.0	852	1
cantar	3981.0	853	1
alrededor	3979.0	854	1
cumplir	3973.0	855	1
intento	3964.0	856	1
planeta	3964.0	857	1
salar	3952.0	858	1
guardar	3950.0	859	1
limpio	3947.0	860	1
maestro	3945.0	861	1
amable	3934.0	862	1
destruir	3931.0	863	1
caballo	3928.0	864	1
regreso	3921.0	865	1
agradecer	3909.0	866	1
unido	3909.0	867	1
consejo	3902.0	868	1
posición	3898.0	869	1
nervioso	3885.0	870	1
través	3880.0	871	1
nivel	3879.0	872	1
apuesto	3875.0	873	1
pelea	3872.0	874	1
cerebro	3859.0	875	1
quitar	3858.0	876	1
ventana	3858.0	877	1
bar	3843.0	878	1
varios	3836.0	879	1
tercero	3834.0	880	1
enemigo	3830.0	881	1
imbécil	3825.0	882	1
negocios	3819.0	883	1
inteligente	3818.0	884	1
preocupado	3813.0	885	1
llegado	3812.0	886	1
banco	3812.0	887	1
base	3809.0	888	1
entregar	3808.0	889	1
ofrecer	3806.0	890	1
posibilidad	3804.0	891	1
triste	3801.0	892	1
estupendo	3801.0	893	1
libertad	3794.0	894	1
dedo	3787.0	895	1
preparado	3775.0	896	1
evitar	3772.0	897	1
fbi	3771.0	898	1
corte	3763.0	899	1
bolsa	3754.0	900	1
cenar	3753.0	901	1
ejército	3732.0	902	1
rayo	3730.0	903	1
preferir	3718.0	904	1
coronel	3717.0	905	1
terminado	3713.0	906	1
sol	3712.0	907	1
guardia	3711.0	908	1
arreglar	3709.0	909	1
peligro	3690.0	910	1
enseguida	3660.0	911	1
orgulloso	3654.0	912	1
rato	3653.0	913	1
fondo	3646.0	914	1
entrada	3641.0	915	1
antiguo	3634.0	916	1
abandonar	3633.0	917	1
abuelo	3631.0	918	1
crimen	3628.0	919	1
espalda	3628.0	920	1
apenas	3628.0	921	1
ojalá	3626.0	922	1
jesús	3614.0	923	1
escena	3608.0	924	1
profesor	3602.0	925	1
cocina	3596.0	926	1
metro	3594.0	927	1
segunda	3590.0	928	1
iglesia	3590.0	929	1
busca	3588.0	930	1
doler	3581.0	931	1
cerrado	3572.0	932	1
diferencia	3559.0	933	1
operación	3550.0	934	1
obra	3549.0	935	1
opinión	3546.0	936	1
baile	3541.0	937	1
simple	3541.0	938	1
dudar	3539.0	939	1
caliente	3526.0	940	1
obtener	3524.0	941	1
encontrado	3522.0	942	1
respeto	3519.0	943	1
infierno	3518.0	944	1
crecer	3513.0	945	1
gay	3510.0	946	1
mayoría	3499.0	947	1
espacio	3488.0	948	1
matrimonio	3487.0	949	1
energía	3485.0	950	1
chino	3480.0	951	1
color	3479.0	952	1
privado	3476.0	953	1
hogar	3470.0	954	1
pareja	3469.0	955	1
cubrir	3463.0	956	1
silencio	3462.0	957	1
izquierda	3456.0	958	1
golpe	3450.0	959	1
salida	3449.0	960	1
carne	3448.0	961	1
máquina	3448.0	962	1
pista	3447.0	963	1
honor	3440.0	964	1
árbol	3440.0	965	1
cargar	3434.0	966	1
estudio	3429.0	967	1
derecha	3427.0	968	1
común	3416.0	969	1
causa	3415.0	970	1
azul	3412.0	971	1
respecto	3402.0	972	1
llenar	3401.0	973	1
finalmente	3393.0	974	1
viendo	3392.0	975	1
vuelo	3390.0	976	1
hallar	3380.0	977	1
alma	3378.0	978	1
cárcel	3353.0	979	1
tren	3348.0	980	1
muestra	3344.0	981	1
testigo	3343.0	982	1
informe	3341.0	983	1
resultado	3327.0	984	1
pared	3319.0	985	1
pesar	3315.0	986	1
cerveza	3312.0	987	1
motivo	3304.0	988	1
hey	3287.0	989	1
sueños	3276.0	990	1
apartamento	3273.0	991	1
recuperar	3266.0	992	1
código	3255.0	993	1
unidos	3254.0	994	1
culo	3246.0	995	1
dirigir	3246.0	996	1
experiencia	3238.0	997	1
entero	3234.0	998	1
radio	3231.0	999	1
imagen	3231.0	1000	1
diferenciar	3224.0	1001	2
compartir	3222.0	1002	2
especie	3222.0	1003	2
suelo	3218.0	1004	2
merecer	3216.0	1005	2
zona	3214.0	1006	2
comprender	3213.0	1007	2
ridículo	3210.0	1008	2
enfrentar	3209.0	1009	2
capaz	3176.0	1010	2
zapato	3176.0	1011	2
alta	3171.0	1012	2
asegurar	3170.0	1013	2
emergencia	3161.0	1014	2
norte	3161.0	1015	2
don	3161.0	1016	2
visita	3151.0	1017	2
asesinar	3147.0	1018	2
enterar	3145.0	1019	2
camión	3140.0	1020	2
disfrutar	3129.0	1021	2
enseñar	3128.0	1022	2
sepa	3127.0	1023	2
restaurante	3124.0	1024	2
beso	3120.0	1025	2
sexual	3118.0	1026	2
vuelto	3106.0	1027	2
autobús	3101.0	1028	2
cometer	3099.0	1029	2
durar	3091.0	1030	2
salud	3088.0	1031	2
distinto	3087.0	1032	2
san	3086.0	1033	2
esperanza	3080.0	1034	2
sorprender	3078.0	1035	2
usa	3075.0	1036	2
doble	3069.0	1037	2
verano	3068.0	1038	2
controlar	3062.0	1039	2
ante	3048.0	1040	2
daniel	3041.0	1041	2
toque	3040.0	1042	2
compra	3037.0	1043	2
cinta	3036.0	1044	2
arte	3026.0	1045	2
sentado	3026.0	1046	2
pies	3025.0	1047	2
calma	3018.0	1048	2
james	3018.0	1049	2
acaso	3015.0	1050	2
resolver	3012.0	1051	2
respirar	3009.0	1052	2
viva	3005.0	1053	2
estados	2995.0	1054	2
corto	2991.0	1055	2
héroe	2991.0	1056	2
ex	2990.0	1057	2
recoger	2989.0	1058	2
destino	2987.0	1059	2
pone	2984.0	1060	2
exacto	2982.0	1061	2
sospechoso	2981.0	1062	2
excepto	2980.0	1063	2
juicio	2979.0	1064	2
alcanzar	2978.0	1065	2
oro	2975.0	1066	2
familiar	2974.0	1067	2
principal	2974.0	1068	2
flor	2972.0	1069	2
gato	2971.0	1070	2
pantalón	2967.0	1071	2
enfermedad	2965.0	1072	2
agradable	2961.0	1073	2
inocente	2960.0	1074	2
anillo	2959.0	1075	2
detalle	2958.0	1076	2
estilo	2952.0	1077	2
embarazado	2948.0	1078	2
gritar	2946.0	1079	2
enorme	2946.0	1080	2
paul	2937.0	1081	2
conversación	2931.0	1082	2
sujeto	2927.0	1083	2
propósito	2927.0	1084	2
debajo	2926.0	1085	2
blanca	2922.0	1086	2
éxito	2918.0	1087	2
obrar	2916.0	1088	2
examen	2911.0	1089	2
marcar	2909.0	1090	2
entrenador	2904.0	1091	2
americano	2903.0	1092	2
